//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Type   ReqLevel   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU      RF
51        "Ice Arrow"                          105      10      12      8       0       0       0      0          0           0               0              0                0       0       2       0       0       0       0
52        "Penetration"                        70       7       9       0       6       0       5      0          0           0               0              0                0       0       1       0       0       0       0
55        "Fire Slash"                         80       15      20      0       6       0       1      0          0           0               0              0                0       0       0       1       0       0       0
56        "Power Slash"                        0        15      0       0       5       0       *      0          0           0               0              0                0       0       0       1       0       0       0
57        "Spiral Slash"                       75       20      15      5       0       0       *      0          0           0               0              0                0       0       0       1       0       0       0
60        "Force"                              10       10      0       4       0       0       *      0          0           0               0              0                0       0       0       0       1       0       0
61        "Fire Burst"                         100      25      0       6       3       0       *      0          0           0               0              0                0       0       0       0       1       0       0
62        "Earthquake"                         150      0       50      0       5       10000   2      0          0           0               0              0                0       0       0       0       1       0       0
63        "Summon Party"                       0        70      30      0       0       30000   *      0          0           0               0              0                0       0       0       0       1       0       0
64        "Greater Critical Damage"            0        50      50      0       5       0       *      0          0           0               0              0                0       0       0       0       1       0       0
65        "Electric Spark"                     250      0       100     0       6       5000    *      0          0           0               0              0                0       0       0       0       1       0       0
66        "Force Wave"                         50       10      0       4       3       0       *      0          0           0               0              0                0       0       0       0       1       0       0
67        "Stern"                              0        70      50      0       5       0       *      0          0           0               4              32               1       1       1       1       1       1       1
68        "Remove Stern"                       0        25      30      0       5       0       *      0          0           0               2              32               1       1       1       1       1       1       1
69        "Greater Mana"                       0        35      30      0       5       0       *      0          0           0               4              32               1       1       1       1       1       1       1
70        "Invisibility"                       0        80      60      6       0       0       *      0          0           0               5              192              1       1       1       1       1       1       1
71        "Remove Invisibility"                0        40      30      0       5       0       *      0          0           0               2              192              1       1       1       1       1       1       1
72        "Remove All Effect"                  0        90      70      0       5       0       *      0          0           0               8              128              0       0       0       0       1       0       0
73        "Mana Rays"                          85       130     7       6       0       0       *      0          0           0               0              0                0       0       0       1       0       0       0
74        "Fire Blast"                         150      30      10      6       0       0       *      0          0           0               0              0                0       0       0       0       1       0       0
75        "Brand"                              0        100     35      0       5       0       *      0          0           0               0              0                0       0       0       0       1       0       0
76        "Plasma Storm"                       60       50      20      0       5       1500    *      0          0           0               0              0                2       2       2       1       1       2       1
77        "Infinity Arrow"                     0        50      10      0       0       200     *      0          0           0               0              0                0       0       1       0       0       0       0
78        "Fire Scream"                        130      45      10      0       6       0       *      0          0           0               0              0                0       0       0       0       1       0       0
79        "Explosion"                          0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       1       0       0
200       "Monster Summon"                     0        40      0       0       0       0       *      0          0           0               0              0                0       0       0       0       0       0       0
201       "Magic Damage Immunity"              0        40      0       0       0       0       *      0          0           0               0              0                0       0       0       0       0       0       0
202       "Physi Damage Immunity"              0        40      0       0       0       0       *      0          0           0               0              0                0       0       0       0       0       0       0
210       "Order of Protection"                0        30      0       0       0       0       0      0          0           0               5              0                1       1       1       1       1       1       1
211       "Order of Restraint"                 0        30      0       3       0       0       0      0          0           0               5              0                1       1       1       1       1       1       1
212       "Order of Tracking"                  0        30      0       0       0       0       0      0          0           0               10             0                1       1       1       1       1       1       1
213       "Order of Weaken"                    0        30      0       3       0       0       0      0          0           0               5              0                1       1       1       1       1       1       1
214       "Drain Life"                         35       50      0       6       0       0       *      0          0           0               0              0                0       0       0       0       0       1       0
215       "Chain Lightning"                    70       85      0       6       3       0       2      0          0           0               0              0                0       0       0       0       0       1       0
216       "Electric Surge"                     90       100     0       6       0       0       *      0          0           0               0              0                0       0       0       0       0       1       0
217       "Damage Reflect"                     0        40      10      0       0       0       *      0          0           0               0              0                0       0       0       0       0       1       0
218       "Sword Power"                        0        100     50      0       0       0       *      0          0           0               0              0                0       0       0       0       0       1       0
219       "Sleep"                              0        20      3       6       0       0       *      0          0           0               0              0                0       0       0       0       0       1       0
220       "Night"                              0        30      0       6       0       0       *      0          0           0               0              0                0       0       0       0       0       1       0
221       "Lesser Damage"                      0        50      15      0       5       0       *      0          0           0               0              0                0       0       0       0       0       1       0
222       "Lesser Defense"                     0        70      15      0       5       0       *      0          0           0               0              0                0       0       0       0       0       1       0
223       "Sahamutt"                           140      85      5       6       3       0       3      0          0           0               0              0                0       0       0       0       0       1       0
224       "Neil"                               165      110     10      6       4       0       5      0          0           0               0              0                0       0       0       0       0       1       0
225       "Ghost Phantom"                      180      120     15      6       5       0       2      0          0           0               0              0                0       0       0       0       0       1       0
230       "Red Storm"                          95       120     7       0       5       0       2      0          0           0               0              0                0       0       0       0       0       1       0
232       "Frozen Stab"                        110      30      24      6       3       0       0      0          0           0               0              0                0       2       0       0       0       0       0
233       "Magic Circle"                       0        200     50      0       0       0       *      0          0           0               0              0                2       0       0       0       0       0       0
234       "Shield Recover"                     0        30      10      6       0       0       *      0          0           0               0              0                0       0       2       0       0       0       0
235       "Five Shot"                          40       10      7       0       6       0       *      0          0           0               0              0                0       0       2       0       0       0       0
236       "Sword Slash"                        140      20      25      0       5       0       3      0          0           0               0              0                0       0       0       1       0       0       0
237       "Lightning Storm"                    110      120     10      0       6       200     5      0          0           0               0              0                0       0       0       1       0       0       0
238       "Birds"                              190      50      15      0       6       400     *      0          0           0               0              0                0       0       0       0       1       0       0
260       "Large Ring Blower"                  0        9       0       2       0       0       4      0          0           0               0              0                0       0       0       0       0       0       1
261       "Upper Beast"                        0        9       0       2       0       0       3      0          0           0               0              0                0       0       0       0       0       0       1
262       "Chain Driver"                       0        15      20      4       0       700     0      0          0           0               0              0                0       0       0       0       0       0       1
263       "Dark Side"                          0        70      0       4       0       0       5      0          0           0               0              0                0       0       0       0       0       0       1
264       "Dragon Lore"                        0        50      30      3       5       700     4      0          0           0               0              0                0       0       0       0       0       0       1
265       "Dragon Slayer"                      0        100     100     4       0       3000    5      0          0           0               0              0                0       0       0       0       0       0       1
266       "Greater Ignore Damage Rate"         0        50      10      0       0       0       *      0          0           0               0              0                0       0       0       0       0       0       1
267       "Fitness"                            0        50      10      0       5       0       *      0          0           0               0              0                0       0       0       0       0       0       1
268       "Greater Defense Success Rate"       0        50      10      0       5       0       *      0          0           0               0              0                0       0       0       0       0       0       1
269       "Charge"                             90       20      15      4       0       0       *      0          0           0               0              0                0       0       0       0       0       0       1
270       "Phoenix Shot"                       0        30      0       4       0       1200    *      0          0           0               0              0                0       0       0       0       0       0       1
300       "Add Item Durability Rate"           0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
301       "Add Defense Success Rate PvP"       0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
302       "Add Max SD"                         0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
303       "Add MP Recovery Rate"               0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
304       "Add Poison Resistance"              0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
305       "Add Item Durability Rate"           0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
306       "Add SD Recovery Rate"               0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
307       "Add HP Recovery Rate"               0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
308       "Add Lightning Resistance"           0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
309       "Add Defense"                        0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
310       "Add BP Recovery Rate"               0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
311       "Add Ice Resistance"                 0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
312       "Add Item Durability Rate"           0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
313       "Add Defense Success Rate"           0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
325       "Add Attack Success Rate"            0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
326       "Add Cyclone Damage"                 0        9       0       2       0       0       *      0          0           0               0              0                0       3       0       0       0       0       0
327       "Add Slash Damage"                   0        10      0       2       0       0       *      0          0           0               0              0                0       3       0       0       0       0       0
328       "Add Falling Slash Damage"           0        9       0       3       0       0       *      0          0           0               0              0                0       3       0       0       0       0       0
329       "Add Lunge Damage"                   0        9       0       2       0       0       *      0          0           0               0              0                0       3       0       0       0       0       0
330       "Add Twisting Slash Damage"          0        10      10      0       3       0       5      0          0           0               0              0                0       3       0       0       0       0       0
331       "Add Rageful Blow Damage"            60       25      20      0       4       0       4      0          0           0               0              0                0       3       0       0       0       0       0
332       "Add Twisting Slash Mastery"         0        22      20      0       3       0       5      0          0           0               0              0                0       3       0       0       0       0       0
333       "Add Rageful Blow Mastery"           60       50      30      0       4       0       4      0          0           0               0              0                0       3       0       0       0       0       0
334       "Add Max HP"                         0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
335       "Add Weapon Damage"                  0        0       0       0       0       0       *      0          0           0               0              0                0       3       0       0       0       0       0
336       "Add Death Stab Damage"              70       15      12      2       0       0       5      0          0           0               0              0                0       3       0       0       0       0       0
337       "Add Frozen Stab Damage"             110      30      24      6       3       0       0      0          0           0               0              0                0       3       0       0       0       0       0
338       "Add Max MP"                         0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
347       "Add Attack Success Rate PvP"        0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
348       "Add Two Hand Sword Damage"          0        0       0       0       0       0       *      0          0           0               0              0                0       3       0       3       0       0       0
349       "Add One Hand Sword Damage"          0        0       0       0       0       0       *      0          0           0               0              0                0       3       0       3       0       0       0
350       "Add Mace Damage"                    0        0       0       0       0       0       *      0          0           0               0              0                0       3       0       0       0       0       0
351       "Add Spear Damage"                   0        0       0       0       0       0       *      0          0           0               0              0                0       3       0       0       0       0       0
352       "Add Two Hand Sword Mastery"         0        0       0       0       0       0       *      0          0           0               0              0                0       3       0       3       0       0       0
353       "Add One Hand Sword Mastery"         0        0       0       0       0       0       *      0          0           0               0              0                0       3       0       3       0       0       0
354       "Add Mace Mastery"                   0        0       0       0       0       0       *      0          0           0               0              0                0       3       0       0       0       0       0
355       "Add Spear Mastery"                  0        0       0       0       0       0       *      0          0           0               0              0                0       3       0       0       0       0       0
356       "Add Greater Life Value"             0        22      22      0       5       0       *      0          0           0               0              0                0       3       0       0       0       0       0
357       "Sub MP Consumption Rate"            0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
358       "Add Hunt SD"                        0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
359       "Add Hunt HP"                        0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
360       "Add Greater Life Count"             0        22      22      0       5       0       *      0          0           0               0              0                0       3       0       0       0       0       0
361       "Add Min Physi Damage"               0        0       0       0       0       0       *      0          0           0               0              0                0       3       0       0       0       0       0
362       "Add Hunt MP"                        0        0       0       0       0       0       *      0          0           0               0              0                3       3       3       3       3       3       3
378       "Add Flame Damage"                   25       55      0       0       6       0       3      0          0           0               0              0                3       0       0       0       0       0       0
379       "Add Lightning Damage"               17       20      0       6       0       0       2      0          0           0               0              0                3       0       0       0       0       0       0
380       "Add Magic Circle Value"             0        220     55      0       0       0       *      0          0           0               0              0                3       0       0       0       0       0       0
381       "Add Inferno Damage"                 100      220     0       0       6       0       3      0          0           0               0              0                3       0       0       0       0       0       0
382       "Add Blast Damage"                   70       165     0       0       6       0       2      0          0           0               0              0                3       0       0       0       0       0       0
383       "Add Magic Circle Count"             0        220     55      0       0       0       *      0          0           0               0              0                3       0       0       0       0       0       0
384       "Add Poison Damage"                  12       46      0       6       0       0       1      0          0           0               0              0                3       0       0       0       0       0       0
385       "Add Evil Spirit Damage"             45       108     0       0       6       0       *      0          0           0               0              0                3       0       0       0       0       0       0
386       "Add Magic Damage"                   0        0       0       0       0       0       *      0          0           0               0              0                3       0       0       0       0       0       0
387       "Add Decay Damage"                   95       120     10      6       4       0       1      0          0           0               0              0                3       0       0       0       0       0       0
388       "Add Hell Fire Damage"               120      176     0       0       6       0       3      0          0           0               0              0                3       0       0       0       0       0       0
389       "Add Ice Damage"                     10       42      0       6       0       0       0      0          0           0               0              0                3       0       0       0       0       0       0
397       "Add One Hand Staff Damage"          0        0       0       0       0       0       *      0          0           0               0              0                3       0       0       3       0       0       0
398       "Add Two Hand Staff Damage"          0        0       0       0       0       0       *      0          0           0               0              0                3       0       0       3       0       0       0
399       "Add Shield Defense"                 0        0       0       0       0       0       *      0          0           0               0              0                3       0       0       3       0       0       0
400       "Add One Hand Staff Mastery"         0        0       0       0       0       0       *      0          0           0               0              0                3       0       0       3       0       0       0
401       "Add Two Hand Staff Mastery"         0        0       0       0       0       0       *      0          0           0               0              0                3       0       0       3       0       0       0
402       "Add Shield Mastery"                 0        0       0       0       0       0       *      0          0           0               0              0                3       0       0       3       0       0       0
403       "Add Mana Shield Value"              0        77      27      6       0       0       *      0          0           0               0              0                3       0       0       3       0       0       0
404       "Add Mana Shield Count"              0        84      27      6       0       0       *      0          0           0               0              0                3       0       0       3       0       0       0
405       "Add Min Magic Damage"               0        0       0       0       0       0       *      0          0           0               0              0                3       0       0       3       0       0       0
413       "Add Heal Value"                     0        22      0       6       0       0       *      0          0           0               0              0                0       0       3       0       0       0       0
414       "Add Triple Shot Damage"             0        5       0       0       6       0       *      0          0           0               0              0                0       0       3       0       0       0       0
415       "Add Summon Life"                    0        0       0       0       0       0       *      0          0           0               0              0                0       0       3       0       0       0       0
416       "Add Penetration Damage"             70       10      11      0       6       0       5      0          0           0               0              0                0       0       3       0       0       0       0
417       "Add Greater Defense Value"          0        33      0       6       0       0       *      0          0           0               0              0                0       0       3       0       0       0       0
418       "Add Triple Shot Mastery"            0        9       0       0       6       0       *      0          0           0               0              0                0       0       3       0       0       0       0
419       "Add Summon Defense"                 0        0       0       0       0       0       *      0          0           0               0              0                0       0       3       0       0       0       0
420       "Add Greater Damage Value"           0        44      0       6       0       0       *      0          0           0               0              0                0       0       3       0       0       0       0
421       "Add Weapon Damage"                  0        0       0       0       0       0       *      0          0           0               0              0                0       0       3       0       0       0       0
422       "Add Greater Damage Count"           0        48      0       6       0       0       *      0          0           0               0              0                0       0       3       0       0       0       0
423       "Add Greater Defense Count"          0        36      0       6       0       0       *      0          0           0               0              0                0       0       3       0       0       0       0
424       "Add Ice Arrow Damage"               105      15      18      8       0       0       0      0          0           0               0              0                0       0       3       0       0       0       0
435       "Add Bow Damage"                     0        0       0       0       0       0       *      0          0           0               0              0                0       0       3       0       0       0       0
436       "Add Cross Bow Damage"               0        0       0       0       0       0       *      0          0           0               0              0                0       0       3       0       0       0       0
437       "Add Shield Defense"                 0        0       0       0       0       0       *      0          0           0               0              0                0       0       3       0       0       0       0
438       "Add Bow Mastery"                    0        0       0       0       0       0       *      0          0           0               0              0                0       0       3       0       0       0       0
439       "Add Cross Bow Mastery"              0        0       0       0       0       0       *      0          0           0               0              0                0       0       3       0       0       0       0
440       "Add Shield Mastery"                 0        0       0       0       0       0       *      0          0           0               0              0                0       0       3       0       0       0       0
441       "Add Infinity Arrow Value"           0        55      11      0       0       200     *      0          0           0               0              0                0       0       3       0       0       0       0
442       "Add Min Physi Damage"               0        0       0       0       0       0       *      0          0           0               0              0                0       0       3       0       0       0       0
448       "Add Sahamutt Damage"                140      85      5       6       3       0       3      0          0           0               0              0                0       0       0       0       0       3       0
449       "Add Neil Damage"                    165      110     10      6       4       0       5      0          0           0               0              0                0       0       0       0       0       3       0
450       "Add Ghost Phantom Damage"           180      120     15      6       5       0       2      0          0           0               0              0                0       0       0       0       0       3       0
451       "Add Sahamutt Mastery"               140      85      5       6       3       0       3      0          0           0               0              0                0       0       0       0       0       3       0
452       "Add Neil Mastery"                   165      110     10      6       4       0       5      0          0           0               0              0                0       0       0       0       0       3       0
453       "Add Ghost Phantom Mastery"          180      120     15      6       5       0       2      0          0           0               0              0                0       0       0       0       0       3       0
454       "Add Sleep Count"                    0        20      3       6       0       0       *      0          0           0               0              0                0       0       0       0       0       3       0
455       "Add Chain Lightning Damage"         70       103     0       6       3       0       2      0          0           0               0              0                0       0       0       0       0       3       0
456       "Add Red Storm Damage"               95       125     10      0       5       0       2      0          0           0               0              0                0       0       0       0       0       3       0
457       "Add Magic Damage"                   0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       0       3       0
458       "Add Drain Life Damage"              35       57      0       6       0       0       *      0          0           0               0              0                0       0       0       0       0       3       0
465       "Add Stick Damage"                   0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       0       3       0
466       "Add Book Damage"                    0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       0       3       0
467       "Add Stick Mastery"                  0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       0       3       0
468       "Add Book Mastery"                   0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       0       3       0
469       "Add Sword Power Value"              0        150     65      0       0       0       *      0          0           0               0              0                0       0       0       0       0       3       0
470       "Add Sword Power Count"              0        165     82      0       0       0       *      0          0           0               0              0                0       0       0       0       0       3       0
471       "Add Min Magic Damage"               0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       0       3       0
479       "Add Cyclone Damage"                 0        9       0       2       0       0       *      0          0           0               0              0                0       0       0       3       0       0       0
480       "Add Lightning Damage"               17       20      0       6       0       0       2      0          0           0               0              0                0       0       0       3       0       0       0
481       "Add Twisting Slash Damage"          0        10      10      0       3       0       5      0          0           0               0              0                0       0       0       3       0       0       0
482       "Add Power Slash Damage"             0        15      0       0       5       0       *      0          0           0               0              0                0       0       0       3       0       0       0
483       "Add Flame Damage"                   25       55      0       0       6       0       3      0          0           0               0              0                0       0       0       3       0       0       0
484       "Add Blast Damage"                   70       165     0       0       6       0       2      0          0           0               0              0                0       0       0       3       0       0       0
485       "Add Weapon Damage"                  0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       3       0       0       0
486       "Add Inferno Damage"                 100      220     0       0       6       0       3      0          0           0               0              0                0       0       0       3       0       0       0
487       "Add Evil Spirit Damage"             45       108     0       0       6       0       *      0          0           0               0              0                0       0       0       3       0       0       0
488       "Add Magic Damage"                   0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       3       0       0       0
489       "Add Ice Damage"                     10       42      0       6       0       0       0      0          0           0               0              0                0       0       0       3       0       0       0
490       "Add Fire Slash Damage"              80       15      22      0       6       0       1      0          0           0               0              0                0       0       0       3       0       0       0
508       "Add Fire Burst Damage"              100      25      0       6       3       0       *      0          0           0               0              0                0       0       0       0       3       0       0
509       "Add Force Wave Damage"              50       15      0       4       3       0       *      0          0           0               0              0                0       0       0       0       3       0       0
510       "Add Dark Horse Defense"             0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       3       0       0
511       "Add Greater Critical D. Value"      0        114     75      0       5       0       *      0          0           0               0              0                0       0       0       0       3       0       0
512       "Add Earthquake Damage"              150      0       75      0       5       10000   2      0          0           0               0              0                0       0       0       0       3       0       0
513       "Add Weapon Damage"                  0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       3       0       0
514       "Add Fire Burst Mastery"             100      27      0       6       3       0       *      0          0           0               0              0                0       0       0       0       3       0       0
515       "Add Greater Critical D. Count"      0        114     75      0       5       0       *      0          0           0               0              0                0       0       0       0       3       0       0
516       "Add Earthquake Mastery"             150      0       75      0       5       10000   2      0          0           0               0              0                0       0       0       0       3       0       0
517       "Add Critical Damage Rate"           0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       3       0       0
518       "Add Fire Scream Damage"             130      45      11      0       6       0       *      0          0           0               0              0                0       0       0       0       3       0       0
526       "Add Dark Spirit Damage"             0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       3       0       0
527       "Add Scepter Damage"                 0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       3       0       0
528       "Add Shield Defense"                 0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       3       0       0
529       "Add Scepter Pet Damage"             0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       3       0       0
530       "Add Dark Spirit C. D. Rate"         0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       3       0       0
531       "Add Scepter Mastery"                0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       3       0       0
532       "Add Shield Mastery"                 0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       3       0       0
533       "Add Defense By Leadership"          0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       3       0       0
534       "Add Dark Spirit E. D. Rate"         0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       3       0       0
535       "Add Item Durability Rate"           0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       3       0       0
551       "Add Large Ring Blower Damage"       0        10      0       2       0       0       4      0          0           0               0              0                0       0       0       0       0       0       3
552       "Add Upper Beast Damage"             0        10      0       2       0       0       3      0          0           0               0              0                0       0       0       0       0       0       3
554       "Add Large Ring Blower Mastery"      0        10      0       2       0       0       4      0          0           0               0              0                0       0       0       0       0       0       3
555       "Add Upper Beast Mastery"            0        10      0       2       0       0       3      0          0           0               0              0                0       0       0       0       0       0       3
556       "Add Defense Success Rate"           0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       0       0       3
557       "Add Weapon Damage"                  0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       0       0       3
558       "Add Chain Driver Damage"            0        22      20      4       0       700     0      0          0           0               0              0                0       0       0       0       0       0       3
559       "Add Dark Side Damage"               0        84      0       4       0       0       5      0          0           0               0              0                0       0       0       0       0       0       3
560       "Add Dragon Lore Damage"             0        60      33      3       5       700     4      0          0           0               0              0                0       0       0       0       0       0       3
568       "Add Glove Damage"                   0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       0       0       3
569       "Add Greater D. S. Rate Value"       0        55      11      0       5       0       *      0          0           0               0              0                0       0       0       0       0       0       3
571       "Add Glove Mastery"                  0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       0       0       3
572       "Add Greater D. S. Rate Count"       0        55      11      0       5       0       *      0          0           0               0              0                0       0       0       0       0       0       3
573       "Add Fitness Value"                  0        55      11      0       5       0       *      0          0           0               0              0                0       0       0       0       0       0       3
574       "Add Defense By Vitality"            0        0       0       0       0       0       *      0          0           0               0              0                0       0       0       0       0       0       3
end
